																	
													Clearing Screen	Calculating View	Drawing Screen	Swapping Buffers	Flushing
101	Clear:	0,01638810	View:	0,00000470	Draw:	0,00001380	SwapBuffers:	0,00034369	End:	0,00001079		101	16,3881	0,0047	0,0138	0,3437	0,0108
102	Clear:	0,01626450	View:	0,00000394	Draw:	0,00001719	SwapBuffers:	0,00036111	End:	0,00000291		102	16,2645	0,0039	0,0172	0,3611	0,0029
103	Clear:	0,01622170	View:	0,00000365	Draw:	0,00000434	SwapBuffers:	0,00035612	End:	0,00000162		103	16,2217	0,0037	0,0043	0,3561	0,0016
104	Clear:	0,01628370	View:	0,00000468	Draw:	0,00000523	SwapBuffers:	0,00024212	End:	0,00001083		104	16,2837	0,0047	0,0052	0,2421	0,0108
105	Clear:	0,01627760	View:	0,00000406	Draw:	0,00000544	SwapBuffers:	0,00026287	End:	0,00000165		105	16,2776	0,0041	0,0054	0,2629	0,0017
106	Clear:	0,01640640	View:	0,00001457	Draw:	0,00000558	SwapBuffers:	0,00037826	End:	0,00000202		106	16,4064	0,0146	0,0056	0,3783	0,0020
107	Clear:	0,01623960	View:	0,00000504	Draw:	0,00001666	SwapBuffers:	0,00036884	End:	0,00001220		107	16,2396	0,0050	0,0167	0,3688	0,0122
108	Clear:	0,01624880	View:	0,00001292	Draw:	0,00000499	SwapBuffers:	0,00022776	End:	0,00000173		108	16,2488	0,0129	0,0050	0,2278	0,0017
109	Clear:	0,01639070	View:	0,00001335	Draw:	0,00000470	SwapBuffers:	0,00026354	End:	0,00000157		109	16,3907	0,0133	0,0047	0,2635	0,0016
110	Clear:	0,01633870	View:	0,00000545	Draw:	0,00001496	SwapBuffers:	0,00033133	End:	0,00001171		110	16,3387	0,0055	0,0150	0,3313	0,0117
111	Clear:	0,01624640	View:	0,00000431	Draw:	0,00001765	SwapBuffers:	0,00026498	End:	0,00000127		111	16,2464	0,0043	0,0176	0,2650	0,0013
112	Clear:	0,01624190	View:	0,00000408	Draw:	0,00000469	SwapBuffers:	0,00038967	End:	0,00000175		112	16,2419	0,0041	0,0047	0,3897	0,0017
113	Clear:	0,01637070	View:	0,00001737	Draw:	0,00000538	SwapBuffers:	0,00036359	End:	0,00000170		113	16,3707	0,0174	0,0054	0,3636	0,0017
114	Clear:	0,01619870	View:	0,00001430	Draw:	0,00000487	SwapBuffers:	0,00022707	End:	0,00001067		114	16,1987	0,0143	0,0049	0,2271	0,0107
115	Clear:	0,01639800	View:	0,00000393	Draw:	0,00001609	SwapBuffers:	0,00029533	End:	0,00000170		115	16,3980	0,0039	0,0161	0,2953	0,0017
116	Clear:	0,01633940	View:	0,00001578	Draw:	0,00000542	SwapBuffers:	0,00031372	End:	0,00000179		116	16,3394	0,0158	0,0054	0,3137	0,0018
117	Clear:	0,01626540	View:	0,00000564	Draw:	0,00000571	SwapBuffers:	0,00027432	End:	0,00000154		117	16,2654	0,0056	0,0057	0,2743	0,0015
118	Clear:	0,01626450	View:	0,00000436	Draw:	0,00000509	SwapBuffers:	0,00029779	End:	0,00000161		118	16,2645	0,0044	0,0051	0,2978	0,0016
119	Clear:	0,01642050	View:	0,00001389	Draw:	0,00000537	SwapBuffers:	0,00033779	End:	0,00000175		119	16,4205	0,0139	0,0054	0,3378	0,0017
120	Clear:	0,01636460	View:	0,00000422	Draw:	0,00000522	SwapBuffers:	0,00040049	End:	0,00000170		120	16,3646	0,0042	0,0052	0,4005	0,0017
121	Clear:	0,01613490	View:	0,00001266	Draw:	0,00000526	SwapBuffers:	0,00024840	End:	0,00000160		121	16,1349	0,0127	0,0053	0,2484	0,0016
122	Clear:	0,01634070	View:	0,00000530	Draw:	0,00001406	SwapBuffers:	0,00030476	End:	0,00000188		122	16,3407	0,0053	0,0141	0,3048	0,0019
123	Clear:	0,01631730	View:	0,00000442	Draw:	0,00001462	SwapBuffers:	0,00020729	End:	0,00000152		123	16,3173	0,0044	0,0146	0,2073	0,0015
124	Clear:	0,01629700	View:	0,00000386	Draw:	0,00000515	SwapBuffers:	0,00023930	End:	0,00000142		124	16,2970	0,0039	0,0052	0,2393	0,0014
125	Clear:	0,01650010	View:	0,00001649	Draw:	0,00000512	SwapBuffers:	0,00039208	End:	0,00000185		125	16,5001	0,0165	0,0051	0,3921	0,0019
126	Clear:	0,01620750	View:	0,00001713	Draw:	0,00000488	SwapBuffers:	0,00031306	End:	0,00000298		126	16,2075	0,0171	0,0049	0,3131	0,0030
127	Clear:	0,01626780	View:	0,00001412	Draw:	0,00000483	SwapBuffers:	0,00029427	End:	0,00000143		127	16,2678	0,0141	0,0048	0,2943	0,0014
128	Clear:	0,01635850	View:	0,00000441	Draw:	0,00001422	SwapBuffers:	0,00033091	End:	0,00001262		128	16,3585	0,0044	0,0142	0,3309	0,0126
129	Clear:	0,01618490	View:	0,00001285	Draw:	0,00000964	SwapBuffers:	0,00024668	End:	0,00000139		129	16,1849	0,0128	0,0096	0,2467	0,0014
130	Clear:	0,01633380	View:	0,00000478	Draw:	0,00000498	SwapBuffers:	0,00031825	End:	0,00000172		130	16,3338	0,0048	0,0050	0,3183	0,0017
131	Clear:	0,01641520	View:	0,00001910	Draw:	0,00000517	SwapBuffers:	0,00033066	End:	0,00000173		131	16,4152	0,0191	0,0052	0,3307	0,0017
132	Clear:	0,01633790	View:	0,00000422	Draw:	0,00000482	SwapBuffers:	0,00039462	End:	0,00000157		132	16,3379	0,0042	0,0048	0,3946	0,0016
133	Clear:	0,01616230	View:	0,00000380	Draw:	0,00001332	SwapBuffers:	0,00028955	End:	0,00001081		133	16,1623	0,0038	0,0133	0,2895	0,0108
134	Clear:	0,01632890	View:	0,00000490	Draw:	0,00001427	SwapBuffers:	0,00031759	End:	0,00001152		134	16,3289	0,0049	0,0143	0,3176	0,0115
135	Clear:	0,01623350	View:	0,00000420	Draw:	0,00001420	SwapBuffers:	0,00037256	End:	0,00000150		135	16,2335	0,0042	0,0142	0,3726	0,0015
136	Clear:	0,01622110	View:	0,00000380	Draw:	0,00000464	SwapBuffers:	0,00028596	End:	0,00000165		136	16,2211	0,0038	0,0046	0,2860	0,0016
137	Clear:	0,01639800	View:	0,00001873	Draw:	0,00001381	SwapBuffers:	0,00039499	End:	0,00000185		137	16,3980	0,0187	0,0138	0,3950	0,0019
138	Clear:	0,01616100	View:	0,00000366	Draw:	0,00000429	SwapBuffers:	0,00035771	End:	0,00000164		138	16,1610	0,0037	0,0043	0,3577	0,0016
139	Clear:	0,01621530	View:	0,00001410	Draw:	0,00000446	SwapBuffers:	0,00032195	End:	0,00000151		139	16,2153	0,0141	0,0045	0,3220	0,0015
